1	 2023-03-17 ~ 2023-04-07	https://www.megastudy.net/teacher_v2/t_promotion/202303_pr/0317_megakdw/main.asp		Mega	[국어 김동욱 선생님] 수능의 본질 체화, 이제는 취 클래스
2	 2023-03-24 ~ 2023-04-06	https://www.megastudy.net/teacher_v2/t_promotion/202303_pr/0324_rimbaud666/main.asp?tec_cd=rimbaud666		Mega	3월 학력평가 정식으로 분석하자!
3	 2023-03-24 ~ 2023-04-23	http://www.megastudy.net/Event/2023/0313_sm27101/main.asp		Mega	일타강사 스벅 친필컵 인증 이벤트
4	 2023-03-22 ~ 2023-04-05	http://www.megastudy.net/teacher_v2/t_promotion/202112_pr/1222_yjjangz/main.asp?tec_cd=yjjangz		Mega	월간 장영진 4월호, 지금 바로 신청하세요!
5	 2023-03-22 ~ 2023-04-04	https://www.megastudy.net/teacher_v2/t_promotion/202303_pr/0322_kodori15th/main.asp		Mega	열공러를 위한 강좌 패키지 30% 할인!
6	 2023-03-21 ~ 2023-04-12	https://www.megastudy.net/teacher_v2/t_promotion/202303_pr/0321_ozscience/main.asp		Mega	지구과학 EBS LIVE 무료 특강
7	 2023-03-21 ~ 2023-04-16	https://www.megastudy.net/teacher_v2/t_promotion/202303_pr/0321_kimdonghaenglish/main.asp?tec_cd=kimdonghaenglish		Mega	수능&내신 EBS의 모든 것!
8	 2023-03-20 ~ 2023-04-20	http://www.megastudy.net/teacher_v2/t_promotion/202301_pr/0102_woomaria/main.asp		Mega	첫 중간고사, 우마리아와 우월하게 1등급으로 시작합시다.
9	 2023-03-20 ~ 2023-04-16	http://www.megastudy.net/teacher_v2/t_promotion/202203_pr/0321_memgacih/main.asp?tec_cd=memgacih		Mega	기출의 논리 구조 완벽 분석
10	 2023-03-17 ~ 2023-04-17	https://www.megastudy.net/campaign/2019_goal/main2.asp?mOne=campaign&mTwo=20ki		Mega	꿈을 향한 도전의 첫걸음!
11	 2023-03-17 ~ 2023-03-30	https://www.megastudy.net/Event/2023/0317_nw27329/main.asp?ViewAnc=evtSection		Mega	디지털 굿즈 무료 배포 중!
12	 2023-03-17 ~ 2023-03-30	https://www.megastudy.net/Event/2023/0317_nw27329/main.asp		Mega	STOP 버튼 누르면 100% 선물 두둥탁!
13	 2023-03-17 ~ 2023-03-31	https://www.megastudy.net/lecmain/mainh/2022/1130_go1/main.asp		Mega	통합사회 만점 노하우가 가득한 메가스터디의 비법!
14	 2023-03-17 ~ 2023-04-02	http://www.megastudy.net/lecmain/mainh/2023/0111_sci/main.asp		Mega	통합과학 제대로 공부하고 싶다면?
15	 2023-03-17 ~ 2023-03-31	https://www.megastudy.net/teacher_v2/t_promotion/202302_pr/0228_kehsck1/main.asp?tec_cd=kehsck1		Mega	EBS 강좌 수강 후기 남기고 간식 먹자!
16	 2023-03-16 ~ 2023-04-14	https://www.megastudy.net/teacher_v2/t_promotion/202303_pr/0316_lksbutt/main.asp		Mega	너의 가장 잘한 선택이 되어 줄게
17	 2023-03-16 ~ 2023-03-30	http://www.megastudy.net/teacher_v2/t_promotion/202302_pr/0227_youb41/main.asp?tec_cd=youb41		Mega	나 없이 EBS 하지 마라 나BS
18	 2023-03-15 ~ 2023-03-28	https://www.megastudy.net/event/2019/1220_fd20584/main.asp		Mega	새 학기 기념, 초간단 미션 이벤트
19	 2023-03-15 ~ 2023-03-29	https://www.megastudy.net/pmp_2012/event/2023/0315_evt/main.asp		Mega	내가 전공하고 싶은 학과는?
